mcdi_wordendings_raw,gender,age,mcdi_wordendings_inter_ptile_within,mcdi_wordendings_inter_ptile_both
9,M,26,92.5,90
10,M,26,93.75,91.667
11,M,26,95,93.333
12,M,26,95.5,95
13,M,26,96,95.333
14,M,26,96.5,95.667
15,M,26,97,96
16,M,26,97.5,96.333
17,M,26,98,96.667
18,M,26,98.5,97
19,M,26,99,97.333
20,M,26,99.5,97.667
21,M,26,>99,98
22,M,26,>99,98.333
23,M,26,>99,98.667
24,M,26,>99,99
25,M,26,>99,99.333
26,M,26,>99,99.667
27,M,26,>99,>99
28,M,26,>99,>99
29,M,26,>99,>99
30,M,26,>99,>99
31,M,26,>99,>99
32,M,26,>99,>99
33,M,26,>99,>99
34,M,26,>99,>99
35,M,26,>99,>99
36,M,26,>99,>99
37,M,26,>99,>99
38,M,26,>99,>99
39,M,26,>99,>99
40,M,26,>99,>99
41,M,26,>99,>99
42,M,26,>99,>99
43,M,26,>99,>99
44,M,26,>99,>99
45,M,26,>99,>99
0,M,27,45,40
1,M,27,55,50
2,M,27,60,55
3,M,27,65,65
4,M,27,75,67.5
5,M,27,77.5,70
6,M,27,80,72.5
7,M,27,81.667,75
8,M,27,83.333,80
9,M,27,85,82.5
10,M,27,87.5,85
11,M,27,90,87.5
12,M,27,91.667,90
13,M,27,93.333,92.5
14,M,27,95,95
15,M,27,95.5,95.313
16,M,27,96,95.625
17,M,27,96.5,95.938
18,M,27,97,96.25
19,M,27,97.5,96.563
20,M,27,98,96.875
21,M,27,98.5,97.188
22,M,27,99,97.5
23,M,27,99.5,97.813
24,M,27,>99,98.125
25,M,27,>99,98.438
26,M,27,>99,98.75
27,M,27,>99,99.063
28,M,27,>99,99.375
29,M,27,>99,99.688
30,M,27,>99,>99
31,M,27,>99,>99
32,M,27,>99,>99
33,M,27,>99,>99
34,M,27,>99,>99
35,M,27,>99,>99
36,M,27,>99,>99
37,M,27,>99,>99
38,M,27,>99,>99
39,M,27,>99,>99
40,M,27,>99,>99
41,M,27,>99,>99
42,M,27,>99,>99
43,M,27,>99,>99
44,M,27,>99,>99
45,M,27,>99,>99
0,M,28,40,35
1,M,28,55,50
2,M,28,57.5,51.667
3,M,28,60,53.333
4,M,28,62.5,55
5,M,28,65,60
6,M,28,70,65
7,M,28,75,67.5
8,M,28,76.667,70
9,M,28,78.333,72.5
10,M,28,80,75
11,M,28,81.667,77.5
12,M,28,83.333,80
13,M,28,85,82.5
14,M,28,86.667,85
15,M,28,88.333,87.5
16,M,28,90,95
17,M,28,92.5,95.313
18,M,28,95,95.625
19,M,28,95.556,95.938
20,M,28,96.111,96.25
21,M,28,96.667,96.563
22,M,28,97.222,96.875
23,M,28,97.778,97.188
24,M,28,98.333,97.5
25,M,28,98.889,97.813
26,M,28,99.444,98.125
27,M,28,>99,98.438
28,M,28,>99,98.75
29,M,28,>99,99.063
30,M,28,>99,99.375
31,M,28,>99,99.688
32,M,28,>99,>99
33,M,28,>99,>99
34,M,28,>99,>99
35,M,28,>99,>99
36,M,28,>99,>99
37,M,28,>99,>99
38,M,28,>99,>99
39,M,28,>99,>99
40,M,28,>99,>99
41,M,28,>99,>99
42,M,28,>99,>99
43,M,28,>99,>99
44,M,28,>99,>99
45,M,28,>99,>99
0,M,29,40,30
1,M,29,50,40
2,M,29,55,50
3,M,29,57.5,51.25
4,M,29,60,52.5
5,M,29,61.25,53.75
6,M,29,62.5,55
7,M,29,63.75,57.5
8,M,29,65,60
9,M,29,67.5,62.5
10,M,29,70,65
11,M,29,75,67.5
12,M,29,76.667,70
13,M,29,78.333,72.5
14,M,29,80,75
15,M,29,81.25,76.667
16,M,29,82.5,78.333
17,M,29,83.75,80
18,M,29,85,82.5
19,M,29,86.667,85
20,M,29,88.333,87.5
21,M,29,90,90
22,M,29,95,92.5
23,M,29,95.714,95
24,M,29,96.429,95.455
25,M,29,97.143,95.909
26,M,29,97.857,96.364
27,M,29,98.571,96.818
28,M,29,99.286,97.273
29,M,29,>99,97.727
30,M,29,>99,98.182
31,M,29,>99,98.636
32,M,29,>99,99.091
33,M,29,>99,99.545
34,M,29,>99,>99
35,M,29,>99,>99
36,M,29,>99,>99
37,M,29,>99,>99
38,M,29,>99,>99
39,M,29,>99,>99
40,M,29,>99,>99
41,M,29,>99,>99
42,M,29,>99,>99
43,M,29,>99,>99
44,M,29,>99,>99
45,M,29,>99,>99
0,F,16,85,90
1,F,16,90,92.5
2,F,16,92.5,95
3,F,16,95,96.25
4,F,16,96.25,97.5
5,F,16,97.5,98.75
6,F,16,98.75,99
7,F,16,99,>99
8,F,16,>99,>99
9,F,16,>99,>99
10,F,16,>99,>99
11,F,16,>99,>99
12,F,16,>99,>99
13,F,16,>99,>99
14,F,16,>99,>99
15,F,16,>99,>99
16,F,16,>99,>99
17,F,16,>99,>99
18,F,16,>99,>99
19,F,16,>99,>99
20,F,16,>99,>99
21,F,16,>99,>99
22,F,16,>99,>99
23,F,16,>99,>99
24,F,16,>99,>99
25,F,16,>99,>99
26,F,16,>99,>99
27,F,16,>99,>99
28,F,16,>99,>99
29,F,16,>99,>99
30,F,16,>99,>99
31,F,16,>99,>99
32,F,16,>99,>99
33,F,16,>99,>99
34,F,16,>99,>99
35,F,16,>99,>99
36,F,16,>99,>99
37,F,16,>99,>99
38,F,16,>99,>99
39,F,16,>99,>99
40,F,16,>99,>99
41,F,16,>99,>99
42,F,16,>99,>99
43,F,16,>99,>99
44,F,16,>99,>99
45,F,16,>99,>99
0,F,17,85,90
1,F,17,90,92.5
2,F,17,91.667,95
3,F,17,93.333,96
4,F,17,95,97
5,F,17,96.25,98
6,F,17,97.5,99
7,F,17,98.75,>99
8,F,17,99,>99
9,F,17,>99,>99
10,F,17,>99,>99
11,F,17,>99,>99
12,F,17,>99,>99
13,F,17,>99,>99
14,F,17,>99,>99
15,F,17,>99,>99
16,F,17,>99,>99
17,F,17,>99,>99
18,F,17,>99,>99
19,F,17,>99,>99
20,F,17,>99,>99
21,F,17,>99,>99
22,F,17,>99,>99
23,F,17,>99,>99
24,F,17,>99,>99
25,F,17,>99,>99
26,F,17,>99,>99
27,F,17,>99,>99
28,F,17,>99,>99
29,F,17,>99,>99
30,F,17,>99,>99
31,F,17,>99,>99
32,F,17,>99,>99
33,F,17,>99,>99
34,F,17,>99,>99
35,F,17,>99,>99
36,F,17,>99,>99
37,F,17,>99,>99
38,F,17,>99,>99
39,F,17,>99,>99
40,F,17,>99,>99
41,F,17,>99,>99
42,F,17,>99,>99
43,F,17,>99,>99
44,F,17,>99,>99
45,F,17,>99,>99
0,F,18,85,90
1,F,18,90,92.5
2,F,18,91.667,95
3,F,18,93.333,95.833
4,F,18,95,96.667
5,F,18,96,97.5
6,F,18,97,98.333
7,F,18,98,99.167
8,F,18,99,>99
9,F,18,>99,>99
10,F,18,>99,>99
11,F,18,>99,>99
12,F,18,>99,>99
13,F,18,>99,>99
14,F,18,>99,>99
15,F,18,>99,>99
16,F,18,>99,>99
17,F,18,>99,>99
18,F,18,>99,>99
19,F,18,>99,>99
20,F,18,>99,>99
21,F,18,>99,>99
22,F,18,>99,>99
23,F,18,>99,>99
24,F,18,>99,>99
25,F,18,>99,>99
26,F,18,>99,>99
27,F,18,>99,>99
28,F,18,>99,>99
29,F,18,>99,>99
30,F,18,>99,>99
31,F,18,>99,>99
32,F,18,>99,>99
33,F,18,>99,>99
34,F,18,>99,>99
35,F,18,>99,>99
36,F,18,>99,>99
37,F,18,>99,>99
38,F,18,>99,>99
39,F,18,>99,>99
40,F,18,>99,>99
41,F,18,>99,>99
42,F,18,>99,>99
43,F,18,>99,>99
44,F,18,>99,>99
45,F,18,>99,>99
0,F,19,80,85
1,F,19,85,90
2,F,19,90,92.5
3,F,19,91.667,95
4,F,19,93.333,95.714
5,F,19,95,96.429
6,F,19,96,97.143
7,F,19,97,97.857
8,F,19,98,98.571
9,F,19,99,99.286
10,F,19,>99,>99
11,F,19,>99,>99
12,F,19,>99,>99
13,F,19,>99,>99
14,F,19,>99,>99
15,F,19,>99,>99
16,F,19,>99,>99
17,F,19,>99,>99
18,F,19,>99,>99
19,F,19,>99,>99
20,F,19,>99,>99
21,F,19,>99,>99
22,F,19,>99,>99
23,F,19,>99,>99
24,F,19,>99,>99
25,F,19,>99,>99
26,F,19,>99,>99
27,F,19,>99,>99
28,F,19,>99,>99
29,F,19,>99,>99
30,F,19,>99,>99
31,F,19,>99,>99
32,F,19,>99,>99
33,F,19,>99,>99
34,F,19,>99,>99
35,F,19,>99,>99
36,F,19,>99,>99
37,F,19,>99,>99
38,F,19,>99,>99
39,F,19,>99,>99
40,F,19,>99,>99
41,F,19,>99,>99
42,F,19,>99,>99
43,F,19,>99,>99
44,F,19,>99,>99
45,F,19,>99,>99
0,F,20,75,80
1,F,20,85,90
2,F,20,90,91.667
3,F,20,91.25,93.333
4,F,20,92.5,95
5,F,20,93.75,95.625
6,F,20,95,96.25
7,F,20,96,96.875
8,F,20,97,97.5
9,F,20,98,98.125
10,F,20,99,98.75
11,F,20,>99,99.375
12,F,20,>99,>99
13,F,20,>99,>99
14,F,20,>99,>99
15,F,20,>99,>99
16,F,20,>99,>99
17,F,20,>99,>99
18,F,20,>99,>99
19,F,20,>99,>99
20,F,20,>99,>99
21,F,20,>99,>99
22,F,20,>99,>99
23,F,20,>99,>99
24,F,20,>99,>99
25,F,20,>99,>99
26,F,20,>99,>99
27,F,20,>99,>99
28,F,20,>99,>99
29,F,20,>99,>99
30,F,20,>99,>99
31,F,20,>99,>99
32,F,20,>99,>99
33,F,20,>99,>99
34,F,20,>99,>99
35,F,20,>99,>99
36,F,20,>99,>99
37,F,20,>99,>99
38,F,20,>99,>99
39,F,20,>99,>99
40,F,20,>99,>99
41,F,20,>99,>99
42,F,20,>99,>99
43,F,20,>99,>99
44,F,20,>99,>99
45,F,20,>99,>99
0,F,21,70,80
1,F,21,85,90
2,F,21,87.5,91.667
3,F,21,90,93.333
4,F,21,91.25,95
5,F,21,92.5,95.5
6,F,21,93.75,96
7,F,21,95,96.5
8,F,21,96,97
9,F,21,97,97.5
10,F,21,98,98
11,F,21,99,98.5
12,F,21,>99,99
13,F,21,>99,99.5
14,F,21,>99,>99
15,F,21,>99,>99
16,F,21,>99,>99
17,F,21,>99,>99
18,F,21,>99,>99
19,F,21,>99,>99
20,F,21,>99,>99
21,F,21,>99,>99
22,F,21,>99,>99
23,F,21,>99,>99
24,F,21,>99,>99
25,F,21,>99,>99
26,F,21,>99,>99
27,F,21,>99,>99
28,F,21,>99,>99
29,F,21,>99,>99
30,F,21,>99,>99
31,F,21,>99,>99
32,F,21,>99,>99
33,F,21,>99,>99
34,F,21,>99,>99
35,F,21,>99,>99
36,F,21,>99,>99
37,F,21,>99,>99
38,F,21,>99,>99
39,F,21,>99,>99
40,F,21,>99,>99
41,F,21,>99,>99
42,F,21,>99,>99
43,F,21,>99,>99
44,F,21,>99,>99
45,F,21,>99,>99
0,F,22,70,70
1,F,22,80,85
2,F,22,85,90
3,F,22,87.5,91.667
4,F,22,90,93.333
5,F,22,91.25,95
6,F,22,92.5,95.417
7,F,22,93.75,95.833
8,F,22,95,96.25
9,F,22,95.833,96.667
10,F,22,96.667,97.083
11,F,22,97.5,97.5
12,F,22,98.333,97.917
13,F,22,99.167,98.333
14,F,22,>99,98.75
15,F,22,>99,99.167
16,F,22,>99,99.583
17,F,22,>99,>99
18,F,22,>99,>99
19,F,22,>99,>99
20,F,22,>99,>99
21,F,22,>99,>99
22,F,22,>99,>99
23,F,22,>99,>99
24,F,22,>99,>99
25,F,22,>99,>99
26,F,22,>99,>99
27,F,22,>99,>99
28,F,22,>99,>99
29,F,22,>99,>99
30,F,22,>99,>99
31,F,22,>99,>99
32,F,22,>99,>99
33,F,22,>99,>99
34,F,22,>99,>99
35,F,22,>99,>99
36,F,22,>99,>99
37,F,22,>99,>99
38,F,22,>99,>99
39,F,22,>99,>99
40,F,22,>99,>99
41,F,22,>99,>99
42,F,22,>99,>99
43,F,22,>99,>99
44,F,22,>99,>99
45,F,22,>99,>99
0,F,23,60,65
1,F,23,70,80
2,F,23,80,85
3,F,23,85,90
4,F,23,87.5,91.25
5,F,23,90,92.5
6,F,23,91.25,93.75
7,F,23,92.5,95
8,F,23,93.75,95.417
9,F,23,95,95.833
10,F,23,95.833,96.25
11,F,23,96.667,96.667
12,F,23,97.5,97.083
13,F,23,98.333,97.5
14,F,23,99.167,97.917
15,F,23,>99,98.333
16,F,23,>99,98.75
17,F,23,>99,99.167
18,F,23,>99,99.583
19,F,23,>99,>99
20,F,23,>99,>99
21,F,23,>99,>99
22,F,23,>99,>99
23,F,23,>99,>99
24,F,23,>99,>99
25,F,23,>99,>99
26,F,23,>99,>99
27,F,23,>99,>99
28,F,23,>99,>99
29,F,23,>99,>99
30,F,23,>99,>99
31,F,23,>99,>99
32,F,23,>99,>99
33,F,23,>99,>99
34,F,23,>99,>99
35,F,23,>99,>99
36,F,23,>99,>99
37,F,23,>99,>99
38,F,23,>99,>99
39,F,23,>99,>99
40,F,23,>99,>99
41,F,23,>99,>99
42,F,23,>99,>99
43,F,23,>99,>99
44,F,23,>99,>99
45,F,23,>99,>99
0,F,24,50,60
1,F,24,70,70
2,F,24,72.5,80
3,F,24,80,85
4,F,24,85,90
5,F,24,87.5,91.25
6,F,24,90,92.5
7,F,24,91.25,93.75
8,F,24,92.5,95
9,F,24,93.75,95.357
10,F,24,95,95.714
11,F,24,95.833,96.071
12,F,24,96.667,96.429
13,F,24,97.5,96.786
14,F,24,98.333,97.143
15,F,24,99.167,97.5
16,F,24,>99,97.857
17,F,24,>99,98.214
18,F,24,>99,98.571
19,F,24,>99,98.929
20,F,24,>99,99.286
21,F,24,>99,99.643
22,F,24,>99,>99
23,F,24,>99,>99
24,F,24,>99,>99
25,F,24,>99,>99
26,F,24,>99,>99
27,F,24,>99,>99
