mcdi_wordforms_raw,gender,age,mcdi_wordforms_inter_ptile_within,mcdi_wordforms_inter_ptile_both
2,M,28,15,15
3,M,28,20,17.5
4,M,28,25,20
5,M,28,30,22.5
6,M,28,35,25
7,M,28,40,30
8,M,28,45,35
9,M,28,47.5,40
10,M,28,55,42.5
11,M,28,60,55
12,M,28,65,57.5
13,M,28,67.5,60
14,M,28,75,62.5
15,M,28,77.5,70
16,M,28,80,75
17,M,28,82.5,80
18,M,28,85,82.5
19,M,28,87.5,85
20,M,28,90,87.5
21,M,28,91.667,90
22,M,28,93.333,92.5
23,M,28,95,95
24,M,28,99,97.5
25,M,28,>99,99
0,M,29,5,5
1,M,29,10,6.667
2,M,29,12.5,8.333
3,M,29,15,10
4,M,29,20,15
5,M,29,22.5,17.5
6,M,29,25,20
7,M,29,27.5,21.667
8,M,29,30,23.333
9,M,29,35,25
10,M,29,40,30
11,M,29,45,35
12,M,29,47.5,37.5
13,M,29,60,40
14,M,29,65,55
15,M,29,67.5,60
16,M,29,75,62.5
17,M,29,80,75
18,M,29,82.5,77.5
19,M,29,85,80
20,M,29,87.5,82.5
21,M,29,90,85
22,M,29,91.667,87.5
23,M,29,93.333,90
24,M,29,95,95
25,M,29,99,99
0,F,16,60,65
1,F,16,80,85
2,F,16,85,90
3,F,16,90,95
4,F,16,95,95.625
5,F,16,96.25,96.25
6,F,16,97.5,96.875
7,F,16,98.75,97.5
8,F,16,99,98.125
9,F,16,>99,98.75
10,F,16,>99,99.375
11,F,16,>99,>99
12,F,16,>99,>99
13,F,16,>99,>99
14,F,16,>99,>99
15,F,16,>99,>99
16,F,16,>99,>99
17,F,16,>99,>99
18,F,16,>99,>99
19,F,16,>99,>99
20,F,16,>99,>99
21,F,16,>99,>99
22,F,16,>99,>99
23,F,16,>99,>99
24,F,16,>99,>99
25,F,16,>99,>99
0,F,17,60,65
1,F,17,75,75
2,F,17,85,90
3,F,17,87.5,92.5
4,F,17,90,95
5,F,17,95,95.556
6,F,17,96,96.111
7,F,17,97,96.667
8,F,17,98,97.222
9,F,17,99,97.778
10,F,17,>99,98.333
11,F,17,>99,98.889
12,F,17,>99,99.444
13,F,17,>99,>99
14,F,17,>99,>99
15,F,17,>99,>99
16,F,17,>99,>99
17,F,17,>99,>99
18,F,17,>99,>99
19,F,17,>99,>99
20,F,17,>99,>99
21,F,17,>99,>99
22,F,17,>99,>99
23,F,17,>99,>99
24,F,17,>99,>99
25,F,17,>99,>99
0,F,18,50,50
1,F,18,60,65
2,F,18,80,80
3,F,18,85,90
4,F,18,87.5,91.667
5,F,18,90,93.333
6,F,18,92.5,95
7,F,18,95,95.556
8,F,18,96,96.111
9,F,18,97,96.667
10,F,18,98,97.222
11,F,18,99,97.778
12,F,18,>99,98.333
13,F,18,>99,98.889
14,F,18,>99,99.444
15,F,18,>99,>99
16,F,18,>99,>99
17,F,18,>99,>99
18,F,18,>99,>99
19,F,18,>99,>99
20,F,18,>99,>99
21,F,18,>99,>99
22,F,18,>99,>99
23,F,18,>99,>99
24,F,18,>99,>99
25,F,18,>99,>99
0,F,19,50,50
1,F,19,60,65
2,F,19,70,75
3,F,19,80,85
4,F,19,85,87.5
5,F,19,87.5,90
6,F,19,90,92.5
7,F,19,91.667,95
8,F,19,93.333,95.5
9,F,19,95,96
10,F,19,95.833,96.5
11,F,19,96.667,97
12,F,19,97.5,97.5
13,F,19,98.333,98
14,F,19,99.167,98.5
15,F,19,>99,99
16,F,19,>99,99.5
17,F,19,>99,>99
18,F,19,>99,>99
19,F,19,>99,>99
20,F,19,>99,>99
21,F,19,>99,>99
22,F,19,>99,>99
23,F,19,>99,>99
24,F,19,>99,>99
25,F,19,>99,>99
0,F,20,35,45
1,F,20,60,65
2,F,20,62.5,67.5
3,F,20,70,75
4,F,20,80,80
5,F,20,82.5,85
6,F,20,85,90
7,F,20,87.5,91.667
8,F,20,90,93.333
9,F,20,91.667,95
10,F,20,93.333,95.5
11,F,20,95,96
12,F,20,95.833,96.5
13,F,20,96.667,97
14,F,20,97.5,97.5
15,F,20,98.333,98
16,F,20,99.167,98.5
17,F,20,>99,99
18,F,20,>99,99.5
19,F,20,>99,>99
20,F,20,>99,>99
21,F,20,>99,>99
22,F,20,>99,>99
23,F,20,>99,>99
24,F,20,>99,>99
25,F,20,>99,>99
0,F,21,35,45
1,F,21,50,50
2,F,21,60,65
3,F,21,62.5,70
4,F,21,70,75
5,F,21,75,80
6,F,21,80,85
7,F,21,85,87.5
8,F,21,86.667,90
9,F,21,88.333,91.667
10,F,21,90,93.333
11,F,21,91.667,95
12,F,21,93.333,95.556
13,F,21,95,96.111
14,F,21,95.833,96.667
15,F,21,96.667,97.222
16,F,21,97.5,97.778
17,F,21,98.333,98.333
18,F,21,99.167,98.889
19,F,21,>99,99.444
20,F,21,>99,>99
21,F,21,>99,>99
22,F,21,>99,>99
23,F,21,>99,>99
24,F,21,>99,>99
25,F,21,>99,>99
0,F,22,30,30
1,F,22,45,50
2,F,22,50,60
3,F,22,60,65
4,F,22,62.5,70
5,F,22,70,75
6,F,22,75,80
7,F,22,80,82.5
8,F,22,82.5,85
9,F,22,85,87.5
10,F,22,87.5,90
11,F,22,90,91.25
12,F,22,91,92.5
13,F,22,92,93.75
14,F,22,93,95
15,F,22,94,95.714
16,F,22,95,96.429
17,F,22,96,97.143
18,F,22,97,97.857
19,F,22,98,98.571
20,F,22,99,99.286
21,F,22,>99,>99
22,F,22,>99,>99
23,F,22,>99,>99
24,F,22,>99,>99
25,F,22,>99,>99
0,F,23,20,25
1,F,23,35,45
2,F,23,50,50
3,F,23,52.5,60
4,F,23,60,65
5,F,23,62.5,67.5
6,F,23,65,70
7,F,23,70,75
8,F,23,75,80
9,F,23,80,85
10,F,23,82.5,86.667
11,F,23,85,88.333
12,F,23,86.667,90
13,F,23,88.333,91.25
14,F,23,90,92.5
15,F,23,91.25,93.75
16,F,23,92.5,95
