mcdi_tgestures_raw,gender,age,mcdi_tgestures_inter_ptile
23,F,14,7.5
24,F,14,8.75
25,F,14,10
26,F,14,12.5
27,F,14,15
28,F,14,17.5
29,F,14,20
30,F,14,21.667
31,F,14,23.333
32,F,14,30
33,F,14,31.667
34,F,14,33.333
35,F,14,35
36,F,14,40
37,F,14,45
38,F,14,50
39,F,14,55
40,F,14,60
41,F,14,65
42,F,14,70
43,F,14,72.5
44,F,14,75
45,F,14,80
46,F,14,81.667
47,F,14,83.333
48,F,14,85
49,F,14,87.5
50,F,14,90
51,F,14,92.5
52,F,14,95
53,F,14,96
54,F,14,97
55,F,14,98
56,F,14,99
57,F,14,>99
58,F,14,>99
59,F,14,>99
60,F,14,>99
61,F,14,>99
62,F,14,>99
63,F,14,>99
0,F,15,<5
1,F,15,<5
2,F,15,<5
3,F,15,<5
4,F,15,<5
5,F,15,<5
6,F,15,<5
7,F,15,<5
8,F,15,<5
9,F,15,<5
10,F,15,<5
11,F,15,<5
12,F,15,<5
13,F,15,<5
14,F,15,<5
15,F,15,<5
16,F,15,<5
17,F,15,<5
18,F,15,<5
19,F,15,<5
20,F,15,<5
21,F,15,<5
22,F,15,<5
23,F,15,<5
24,F,15,<5
25,F,15,<5
26,F,15,<5
27,F,15,<5
28,F,15,<5
29,F,15,5
30,F,15,10
31,F,15,12.5
32,F,15,15
33,F,15,17.5
34,F,15,20
35,F,15,21.667
36,F,15,23.333
37,F,15,25
38,F,15,30
39,F,15,31.667
40,F,15,33.333
41,F,15,40
42,F,15,45
43,F,15,50
44,F,15,60
45,F,15,65
46,F,15,70
47,F,15,72.5
48,F,15,75
49,F,15,80
50,F,15,82.5
51,F,15,85
52,F,15,86.667
53,F,15,88.333
54,F,15,90
55,F,15,95
56,F,15,96.25
57,F,15,97.5
58,F,15,98.75
59,F,15,99
60,F,15,>99
61,F,15,>99
62,F,15,>99
63,F,15,>99
0,F,16,<5
1,F,16,<5
2,F,16,<5
3,F,16,<5
4,F,16,<5
5,F,16,<5
6,F,16,<5
7,F,16,<5
8,F,16,<5
9,F,16,<5
10,F,16,<5
11,F,16,<5
12,F,16,<5
13,F,16,<5
14,F,16,<5
15,F,16,<5
16,F,16,<5
17,F,16,<5
18,F,16,<5
19,F,16,<5
20,F,16,<5
21,F,16,<5
22,F,16,<5
23,F,16,<5
24,F,16,<5
25,F,16,<5
26,F,16,<5
27,F,16,<5
28,F,16,<5
29,F,16,<5
30,F,16,<5
31,F,16,<5
32,F,16,<5
33,F,16,<5
34,F,16,<5
35,F,16,<5
36,F,16,10
37,F,16,15
38,F,16,16.667
39,F,16,18.333
40,F,16,20
41,F,16,22.5
42,F,16,25
43,F,16,30
44,F,16,31.667
45,F,16,33.333
46,F,16,45
47,F,16,47.5
48,F,16,60
49,F,16,65
50,F,16,70
51,F,16,72.5
52,F,16,80
53,F,16,82.5
54,F,16,85
55,F,16,87.5
56,F,16,90
57,F,16,95
