mcdi_lgestures_raw,gender,age,mcdi_lgestures_inter_ptile
36,M,16,85
37,M,16,87.5
38,M,16,90
39,M,16,92.5
40,M,16,95
41,M,16,97.5
42,M,16,99
43,M,16,>99
44,M,16,>99
45,M,16,>99
1,M,17,<5
2,M,17,<5
3,M,17,<5
4,M,17,<5
5,M,17,<5
6,M,17,<5
7,M,17,<5
8,M,17,<5
9,M,17,<5
10,M,17,5
11,M,17,5.625
12,M,17,6.25
13,M,17,6.875
14,M,17,7.5
15,M,17,8.125
16,M,17,8.75
17,M,17,9.375
18,M,17,10
19,M,17,11.25
20,M,17,12.5
21,M,17,13.75
22,M,17,15
23,M,17,17.5
24,M,17,20
25,M,17,25
26,M,17,30
27,M,17,35
28,M,17,45
29,M,17,50
30,M,17,52.5
31,M,17,60
32,M,17,65
33,M,17,75
34,M,17,80
35,M,17,82.5
36,M,17,85
37,M,17,87.5
38,M,17,90
39,M,17,92.5
40,M,17,95
41,M,17,97.5
42,M,17,99
43,M,17,>99
44,M,17,>99
45,M,17,>99
1,M,18,<5
2,M,18,<5
3,M,18,<5
4,M,18,<5
5,M,18,<5
6,M,18,<5
7,M,18,<5
8,M,18,<5
9,M,18,<5
10,M,18,5
11,M,18,5.625
12,M,18,6.25
13,M,18,6.875
14,M,18,7.5
15,M,18,8.125
16,M,18,8.75
17,M,18,9.375
18,M,18,10
19,M,18,11.25
20,M,18,12.5
21,M,18,13.75
22,M,18,15
23,M,18,17.5
24,M,18,20
25,M,18,25
26,M,18,30
27,M,18,35
28,M,18,45
29,M,18,50
30,M,18,52.5
31,M,18,60
32,M,18,65
33,M,18,75
34,M,18,80
35,M,18,82.5
36,M,18,85
37,M,18,87.5
38,M,18,90
39,M,18,92.5
40,M,18,95
41,M,18,97.5
42,M,18,99
43,M,18,>99
44,M,18,>99
45,M,18,>99
1,F,6,10
2,F,6,25
3,F,6,50
4,F,6,55
5,F,6,65
6,F,6,75
7,F,6,77.5
8,F,6,80
9,F,6,85
10,F,6,90
11,F,6,91.667
12,F,6,93.333
13,F,6,95
14,F,6,96.25
15,F,6,97.5
16,F,6,98.75
17,F,6,99
18,F,6,>99
19,F,6,>99
20,F,6,>99
21,F,6,>99
22,F,6,>99
23,F,6,>99
24,F,6,>99
25,F,6,>99
26,F,6,>99
27,F,6,>99
28,F,6,>99
29,F,6,>99
30,F,6,>99
31,F,6,>99
32,F,6,>99
33,F,6,>99
34,F,6,>99
35,F,6,>99
36,F,6,>99
37,F,6,>99
38,F,6,>99
39,F,6,>99
40,F,6,>99
41,F,6,>99
42,F,6,>99
43,F,6,>99
44,F,6,>99
45,F,6,>99
1,F,7,10
2,F,7,25
3,F,7,50
4,F,7,55
5,F,7,65
6,F,7,75
7,F,7,77.5
8,F,7,80
9,F,7,85
10,F,7,90
11,F,7,91.667
12,F,7,93.333
13,F,7,95
14,F,7,96.25
15,F,7,97.5
16,F,7,98.75
17,F,7,99
18,F,7,>99
19,F,7,>99
20,F,7,>99
21,F,7,>99
22,F,7,>99
23,F,7,>99
24,F,7,>99
25,F,7,>99
26,F,7,>99
27,F,7,>99
28,F,7,>99
29,F,7,>99
30,F,7,>99
31,F,7,>99
32,F,7,>99
33,F,7,>99
34,F,7,>99
35,F,7,>99
36,F,7,>99
37,F,7,>99
38,F,7,>99
39,F,7,>99
40,F,7,>99
41,F,7,>99
42,F,7,>99
43,F,7,>99
44,F,7,>99
45,F,7,>99
1,F,8,10
2,F,8,25
3,F,8,50
4,F,8,55
5,F,8,65
6,F,8,75
7,F,8,77.5
8,F,8,80
9,F,8,85
10,F,8,90
11,F,8,91.667
12,F,8,93.333
13,F,8,95
14,F,8,96.25
15,F,8,97.5
16,F,8,98.75
17,F,8,99
18,F,8,>99
19,F,8,>99
20,F,8,>99
21,F,8,>99
22,F,8,>99
23,F,8,>99
24,F,8,>99
25,F,8,>99
26,F,8,>99
27,F,8,>99
28,F,8,>99
29,F,8,>99
30,F,8,>99
31,F,8,>99
32,F,8,>99
33,F,8,>99
34,F,8,>99
35,F,8,>99
36,F,8,>99
37,F,8,>99
38,F,8,>99
39,F,8,>99
40,F,8,>99
41,F,8,>99
42,F,8,>99
43,F,8,>99
44,F,8,>99
45,F,8,>99
1,F,9,<5
2,F,9,20
3,F,9,25
4,F,9,40
5,F,9,50
6,F,9,55
7,F,9,65
8,F,9,70
9,F,9,75
10,F,9,77.5
11,F,9,80
12,F,9,85
13,F,9,90
14,F,9,91.25
15,F,9,92.5
16,F,9,93.75
17,F,9,95
18,F,9,96
19,F,9,97
